凤凰台(多线路),#genre#
凤凰资讯,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
凤凰资讯,https://play-flive.ifeng.com/live/06OLEEWQKN4.flv
凤凰卫视,https://play-flive.ifeng.com/live/06OLEGEGM4G.flv
凤凰资讯,http://118.254.202.28:8888/udp/239.76.253.134:9000
凤凰资讯,http://118.254.202.28:8888/udp/239.76.246.135:1234
凤凰资讯,http://103.95.24.37:880/fhzx.m3u8
凤凰卫视,http://210.210.155.37/uq2663/h/h157/index2.m3u8
凤凰资讯,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
凤凰资讯,https://edge1.laotv.la/live/PhoenixNews/index.m3u8
凤凰资讯,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰卫视,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰资讯,http://118.254.202.28:8888/udp/239.76.246.8:1234
凤凰卫视,http://118.254.202.28:8888/udp/239.76.246.134:1234
凤凰卫视,http://118.254.202.28:8888/udp/239.76.253.135:9000
凤凰卫视,http://118.254.202.28:8888/udp/239.76.246.7:1234
凤凰卫视,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
凤凰资讯,http://kuanglong.vicp.hk:2121/udp/239.93.16.118:8708
凤凰资讯,http://117.27.190.42:9901/tsfile/live/23279_1.m3u8?
凤凰卫视,http://117.27.190.42:9901/tsfile/live/23280_1.m3u8?
凤凰卫视,http://giwon.ddns.net:5555/udp/239.93.0.162:2192
凤凰资讯,http://giwon.ddns.net:5555/udp/239.93.0.118:2191
凤凰卫视,http://tom028.top:55555/udp/239.93.0.162:2192
凤凰资讯,http://tom028.top:55555/rtp/239.93.0.118:2191
凤凰卫视,http://103.95.24.37:880/fhws.m3u8
凤凰资讯,http://lx.haoyuhuojia.com:4022/udp/233.50.200.192:5140
凤凰卫视,http://117.27.190.42:9901/tsfile/live/23280_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://117.27.190.42:9901/tsfile/live/23279_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,https://tv.sd.cn/sichuan?id=239.93.0.118:2191
凤凰卫视,https://tv.sd.cn/sichuan?id=239.93.0.162:2192
凤凰资讯,http://giwon.ddns.net:5555/udp/239.93.1.4:2191
凤凰资讯,http://www.372583307.top:4022/udp/233.50.200.192:5140
凤凰卫视,http://120.238.13.198:8000/hls/20/index.m3u8
凤凰资讯,http://vl15191373.imwork.net:8880/udp/239.93.1.4:2191
凤凰资讯,http://117.27.190.42:9901/tsfile/live/23279_1.m3u8
凤凰中文,http://117.27.190.42:9901/tsfile/live/23280_1.m3u8
海峡卫视,http://117.27.190.42:9901/tsfile/live/23283_1.m3u8

YouTube,#genre#
凤凰卫视资讯台,https://www.youtube.com/watch?v=HFib76ySpbU
环宇新闻台,https://www.youtube.com/watch?v=6IquAgfvYmc
中天电视,https://www.youtube.com/watch?v=HZzR71DbC1I
TVBS NEWS,https://www.youtube.com/watch?v=m_dhMSvUCIc
台视新闻,https://www.youtube.com/watch?v=xL0ch83RAK8
民视新闻,https://www.youtube.com/watch?v=ylYJSBUgaMA
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
三立新闻,https://www.youtube.com/watch?v=oZdzzvxTfUY
东森新闻,https://www.youtube.com/watch?v=2dfAzcDf8Zg
CNA,https://www.youtube.com/watch?v=XWq5kBlakcQ
公视新闻,https://www.youtube.com/watch?v=quwqlazU-c8
镜新闻,https://www.youtube.com/watch?v=5n0y6b0Q25o
KBS KOREA,https://www.youtube.com/watch?v=OxQQsIvJTTU
中天新闻2台,https://www.youtube.com/watch?v=WPfPjbOLNfE
NBC News NOW,https://www.youtube.com/watch?v=oGDHdE5EaAo&pp=ygUEbmV3cw%3D%3D
